# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 341K of event 'cycles'
# Event count (approx.): 225467342757
#
# Overhead  Command  Shared Object      Symbol                                     
# ........  .......  .................  ...........................................
#
     0.00%  pigz     [kernel.kallsyms]  [k] update_cpu_load_active                 
     0.00%  pigz     [kernel.kallsyms]  [k] calc_global_load                       
     0.00%  pigz     libc-2.19.so       [.] __memcpy_sse2_unaligned                
     0.00%  pigz     [kernel.kallsyms]  [k] rcu_process_callbacks                  
     0.00%  pigz     [kernel.kallsyms]  [k] unmap_page_range                       
     0.00%  pigz     [kernel.kallsyms]  [k] run_posix_cpu_timers                   
     0.00%  pigz     pigz               [.] ZopfliCalculateBlockSize               
     0.00%  pigz     pigz               [.] ZopfliGetLengthExtraBitsValue          
     0.00%  pigz     [kernel.kallsyms]  [k] __acct_update_integrals                
     0.00%  pigz     [kernel.kallsyms]  [k] timekeeping_update.constprop.8         
     0.00%  pigz     [kernel.kallsyms]  [k] phy_reg_write_wide                     
     0.00%  pigz     [kernel.kallsyms]  [k] irq_enter                              
     0.00%  pigz     [kernel.kallsyms]  [k] rcu_irq_enter                          
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_get_channels_in_country            
     0.00%  pigz     [kernel.kallsyms]  [k] page_add_new_anon_rmap                 
     0.00%  pigz     [kernel.kallsyms]  [k] handle_mm_fault                        
     0.00%  pigz     [kernel.kallsyms]  [k] pvclock_gtod_notify                    
     0.00%  pigz     pigz               [.] ZopfliBlockSplit                       
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phy_populate_recipcoeffs_acphy     
     0.00%  pigz     [kernel.kallsyms]  [k] timerqueue_del                         
     0.00%  pigz     pigz               [.] PatchDistanceCodesForBuggyDecoders     
     0.00%  pigz     [kernel.kallsyms]  [k] trigger_load_balance                   
     0.00%  pigz     pigz               [.] CalculateTreeSize                      
     0.00%  pigz     [kernel.kallsyms]  [k] cpu_needs_another_gp                   
     0.00%  pigz     [kernel.kallsyms]  [k] update_blocked_averages                
     0.00%  pigz     [kernel.kallsyms]  [k] get_pfnblock_flags_mask                
     0.00%  pigz     [kernel.kallsyms]  [k] __lru_cache_add                        
     0.00%  pigz     [kernel.kallsyms]  [k] page_remove_rmap                       
     0.00%  pigz     [kernel.kallsyms]  [k] free_pcppages_bulk                     
     0.00%  pigz     [kernel.kallsyms]  [k] perf_pmu_disable                       
     0.00%  pigz     [kernel.kallsyms]  [k] raise_softirq                          
     0.00%  pigz     [kernel.kallsyms]  [k] __bpf_prog_run                         
     0.00%  pigz     pigz               [.] ClearStatFreqs                         
     0.00%  pigz     [kernel.kallsyms]  [k] rcu_irq_exit                           
     0.00%  pigz     [kernel.kallsyms]  [k] __run_hrtimer                          
     0.00%  pigz     libc-2.19.so       [.] qsort                                  
     0.00%  pigz     pigz               [.] LZ77OptimalRun                         
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_clean_rtx_queue                    
     0.00%  pigz     [kernel.kallsyms]  [k] scheduler_tick                         
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phy_table_write_acphy              
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_recvdata_ordered                   
     0.00%  pigz     [kernel.kallsyms]  [k] note_gp_changes                        
     0.00%  pigz     [kernel.kallsyms]  [k] rcu_advance_cbs                        
     0.00%  pigz     pigz               [.] ZopfliCalculateBitLengths              
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_scb_clearstatebit_bsscfg           
     0.00%  pigz     [kernel.kallsyms]  [k] rebalance_domains                      
     0.00%  pigz     [kernel.kallsyms]  [k] _raw_spin_trylock                      
     0.00%  pigz     pigz               [.] FindMinimum                            
     0.00%  pigz     pigz               [.] GetDynamicLengths                      
     0.00%  pigz     [kernel.kallsyms]  [k] __do_page_fault                        
     0.00%  pigz     [kernel.kallsyms]  [k] __pagevec_lru_add_fn                   
     0.00%  pigz     [kernel.kallsyms]  [k] vmacache_find                          
     0.00%  pigz     [kernel.kallsyms]  [k] alloc_pages_vma                        
     0.00%  pigz     [kernel.kallsyms]  [k] mem_cgroup_page_lruvec                 
     0.00%  pigz     [kernel.kallsyms]  [k] up_read                                
     0.00%  pigz     [kernel.kallsyms]  [k] free_hot_cold_page                     
     0.00%  pigz     [kernel.kallsyms]  [k] update_rq_clock.part.82                
     0.00%  pigz     pigz               [.] ZopfliLZ77Optimal                      
